"","Ethiopia","Kenya","Tanzania","Uganda","Historic_Uganda","Historic_Kenya"
"Ethiopia",0,0.386813119791732,0.164666561495758,0.522569906430776,0.481448629096303,0.394441151716882
"Kenya",0.386813119791732,0,0.272751250428064,0.0558392009756564,0.0507124007596031,0.00463947603701944
"Tanzania",0.164666561495758,0.272751250428064,0,0.432473888075629,0.376374067823794,0.283999172321078
"Uganda",0.522569906430776,0.0558392009756564,0.432473888075629,0,0.126959749987361,0.12721598952811
"Historic_Uganda",0.481448629096303,0.0507124007596031,0.376374067823794,0.126959749987361,0,0.0480878919126711
"Historic_Kenya",0.394441151716882,0.00463947603701944,0.283999172321078,0.12721598952811,0.0480878919126711,0
